id;V-id_video;V-content;V-norm_bitrate;V-complexity;V-complexity_class;QoA_VLCresolution;QoA_VLCcaching;QoA_VLCbitrate;QoA_VLCframerate;QoA_VLCdropped;QoA_VLCaudiorate;QoA_VLCaudioloss; QoA_BUFFERINGtime;QoD_screen_size;id_user;QoU_age;QoU_sex;mos
330;12;News;4.738728724540743;4.9139043460941805;0;360;800;821.5555556;29.88888889;0;51.81481481;3;831.951;1366 x 768;3;25;men;4
331;51;Cartoons;5.227554283505409;5.223989463820752;0;240;200;298.2222222;30;0;38.37037037;2;767.408;1366 x 768;32;23;men;3
332;73;Movies;6.4222844656205185;5.874105731565194;0;360;400;1003;0;1;0;3;653.327;1920x1200;52;29;men;1
333;82;Games;10.224898994402672;7.342974738675389;2;360;200;444.7777778;29.59259259;0;60.33333333;2;1528.741;1920x1200;59;23;women;5
334;72;Movies;8.76286260877581;6.855607291109794;1;1080;1000;384;29.92592593;0;43.48148148;1;1207.151;1920x1200;48;25;men;5
335;71;Movies;5.412066549907106;5.333550023964247;0;144;100;86.33333333;1.074074074;20.88888889;21.92592593;0;948.767;1366 x 768;44;23;men;1
336;12;News;4.738728724540743;4.9139043460941805;0;480;400;759.1111111;30.55555556;0;66.85185185;2;1391.509;1366 x 768;3;25;men;3
337;83;Games;12.853567398049956;8.065626757294797;3;360;200;364.1111111;29.92592593;0;61.92592593;2;1062.338;1920x1200;62;24;men;5
338;52;Cartoons;7.801982650121881;6.488763492380295;1;480;400;616.4444444;30.14814815;0.888888889;68.48148148;2;5469.27;1920x1200;34;20;men;2
339;43;Music;8.63852382999514;6.810469349964349;1;720;400;3209.666667;28.51851852;1;42.22222222;3;1105.597;1366 x 768;30;21;men;4
340;72;Movies;8.76286260877581;6.855607291109794;1;1080;1000;3299.333333;29.88888889;0;43.51851852;1;1515.705;1920x1200;48;25;men;5
341;11;News;5.20932157565044;5.212953946263235;0;144;400;66.44444444;9.62962963;0;20.85185185;0;763.115;1920x1200;1;25;men;1
342;32;Documentary;12.654185676416692;8.016248746371058;3;480;400;821.4444444;29.40740741;0;42.25925926;3;2740.855;1920x1200;22;23;men;4
343;22;Sports;18.99129562519022;9.298578866975943;3;1080;1000;2433.222222;29.88888889;0;43.48148148;2;2628.942;1920x1200;13;26;men;5
344;12;News;4.738728724540743;4.9139043460941805;0;1080;2000;418.8888889;30.03703704;0;60.22222222;3;720.483;1366 x 768;3;25;men;4
345;51;Cartoons;5.227554283505409;5.223989463820752;0;720;400;2484.444444;28.66666667;1;42.18518519;2;2139.924;1366 x 768;32;23;men;5
346;82;Games;10.224898994402672;7.342974738675389;2;360;200;1402;0;0;0;2;1239.62;1920x1200;59;23;women;1
347;33;Documentary;9.53971310756348;7.123893193826178;2;720;400;2740.666667;30;3;44.03703704;4;3001.12;1920x1200;25;26;men;4
348;51;Cartoons;5.227554283505409;5.223989463820752;0;144;100;93.44444444;1.074074074;20.88888889;21.88888889;0;2998.096;1366 x 768;32;23;men;1
349;73;Movies;6.4222844656205185;5.874105731565194;0;360;200;866.3333333;30.37037037;0;58.7037037;2;1710.413;1920x1200;52;29;men;4
350;21;Sports;17.37365140192851;9.01738984183051;3;720;400;3244.222222;29.81481481;3;43.18518519;3;2100.366;1920x1200;10;27;men;2
351;72;Movies;8.76286260877581;6.855607291109794;1;720;400;1846;15.55555556;23.33333333;22.85185185;9;4235.0251;1920x1200;48;25;men;2
352;21;Sports;17.37365140192851;9.01738984183051;3;144;100;89.22222222;1.074074074;20.88888889;21.88888889;0;3146.343;1920x1200;10;27;men;1
353;21;Sports;17.37365140192851;9.01738984183051;3;720;400;1449.666667;29.77777778;1;43.7037037;2;1410.585;1920x1200;10;27;men;3
354;42;Music;0.8546425304049192;-0.4961127182810612;0;360;200;968.1111111;30.14814815;0;80.2962963;3;1672.957;1920x1200;29;29;men;3
355;41;Music;12.175865536915449;7.894544315349986;2;720;400;3318.777778;29.7037037;0;43.81481481;1;918.402;1366 x 768;27;28;women;4
356;13;News;5.411190697380056;5.333038831296158;0;720;400;1718.666667;29.88888889;0;43.55555556;1;1080.985;1920x1200;7;21;women;4
357;83;Games;12.853567398049956;8.065626757294797;3;360;200;444.7777778;30.92592593;0;62.96296296;2;1727.351;1920x1200;62;24;men;5
358;62;Lessons;1.9414298662998701;2.095430591845744;0;240;800;356.5555556;30;0;38.33333333;2;1468.78;1920x1200;39;20;men;3
359;31;Documentary;5.3956730871217315;5.323968209279923;0;480;400;303;28.7037037;0;56.40740741;3;1373.406;1920x1200;19;27;women;4
360;31;Documentary;5.3956730871217315;5.323968209279923;0;360;200;789.8888889;29.81481481;0;53.62962963;2;1741.711;1920x1200;19;27;women;4
361;51;Cartoons;5.227554283505409;5.223989463820752;0;240;200;186.3333333;30;0;38.33333333;2;1000.773;1366 x 768;32;23;men;3
362;43;Music;8.63852382999514;6.810469349964349;1;480;400;703.8888889;29.81481481;0;54.11111111;2;2880.752;1366 x 768;30;21;men;3
363;73;Movies;6.4222844656205185;5.874105731565194;0;360;200;921;0;1;0;4;585.337;1366 x 768;52;29;men;1
364;43;Music;8.63852382999514;6.810469349964349;1;720;400;3318.777778;29.77777778;0;43.7037037;1;873.911;1366 x 768;30;21;men;4
366;42;Music;0.8546425304049192;-0.4961127182810612;0;144;400;95;9.962962963;0;21.92592593;0;699.332;1920x1200;29;29;men;2
367;12;News;4.738728724540743;4.9139043460941805;0;1080;2000;1491.777778;30.03703704;0;43.22222222;1;1031.079;1366 x 768;4;21;women;5
368;63;Lessons;2.182599744841972;2.4652661825137927;0;1080;1000;3355;29.7037037;0;43.81481481;1;632.808;1366 x 768;42;28;men;5
369;42;Music;0.8546425304049192;-0.4961127182810612;0;1080;400;3193.777778;29.14814815;3.888888889;42.33333333;11.88888889;1222.426;1920x1200;29;29;men;2
370;43;Music;8.63852382999514;6.810469349964349;1;240;200;171.1111111;30;0;38.33333333;4;1262.747;1366 x 768;30;21;men;1
371;21;Sports;17.37365140192851;9.01738984183051;3;360;800;792.6666667;29.85185185;0;51.81481481;3;2007.592;1920x1200;10;27;men;4
373;22;Sports;18.99129562519022;9.298578866975943;3;1080;1000;1869.666667;29.92592593;0;43.48148148;1;1676.58;1920x1200;13;26;men;4
374;43;Music;8.63852382999514;6.810469349964349;1;360;200;1017.444444;29.96296296;0;76.33333333;3;1000.505;1366 x 768;30;21;men;4
375;31;Documentary;5.3956730871217315;5.323968209279923;0;360;200;841.3333333;29.77777778;0;64.59259259;2;2073.572;1920x1200;19;27;women;4
376;32;Documentary;12.654185676416692;8.016248746371058;3;480;400;618;29.88888889;0;57.59259259;2;2340.796;1920x1200;22;23;men;4
377;63;Lessons;2.182599744841972;2.4652661825137927;0;1080;1000;1555.888889;24.59259259;13.11111111;36.96296296;11.44444444;3801.402;1366 x 768;43;26;men;2
378;23;Sports;9.88465928124628;7.236085120119441;2;360;200;209.3333333;29.88888889;0;69.18518519;2;2007.445;1366 x 768;16;22;men;2
379;23;Sports;9.88465928124628;7.236085120119441;2;144;100;80.22222222;0.740740741;23.11111111;21.77777778;0;1765.591;1366 x 768;16;22;men;2
380;73;Movies;6.4222844656205185;5.874105731565194;0;360;200;1004;0;0;0;3;644.603;1366 x 768;52;29;men;1
382;23;Sports;9.88465928124628;7.236085120119441;2;240;200;374.7777778;30.18518519;0;38.51851852;2;3288.473;1366 x 768;16;22;men;2
383;23;Sports;9.88465928124628;7.236085120119441;2;720;400;1172.888889;12.48148148;14.66666667;19.14814815;11;1113.347;1366 x 768;16;22;men;2
384;73;Movies;6.4222844656205185;5.874105731565194;0;360;400;592.7777778;30.55555556;0;54;2;3078.702;1366 x 768;52;29;men;3
385;11;News;5.20932157565044;5.212953946263235;0;240;1000;387.4444444;29.96296296;0;38.33333333;2;502.407;1920x1200;1;25;men;2
386;12;News;4.738728724540743;4.9139043460941805;0;480;1000;1809.444444;30;0;43.81481481;1;730.384;1366 x 768;4;21;women;5
387;32;Documentary;12.654185676416692;8.016248746371058;3;1080;2000;3065.555556;29.77777778;0;43.66666667;1;2443.975;1920x1200;22;23;men;5
388;62;Lessons;1.9414298662998701;2.095430591845744;0;480;400;464;0;0;0;3;969.01;1920x1200;39;20;men;1
389;13;News;5.411190697380056;5.333038831296158;0;360;200;993.6666667;29.81481481;0;54.2962963;3;1266.04;1920x1200;7;21;women;4
390;33;Documentary;9.53971310756348;7.123893193826178;2;480;400;1978;0;1;0;4;1098.124;1920x1200;25;26;men;1
391;22;Sports;18.99129562519022;9.298578866975943;3;720;400;2566.111111;29.88888889;0;43.48148148;2;2367.49;1920x1200;13;26;men;4
392;62;Lessons;1.9414298662998701;2.095430591845744;0;144;400;95.44444444;9.962962963;0;21.92592593;0;1004.293;1920x1200;39;20;men;1
393;71;Movies;5.412066549907106;5.333550023964247;0;240;200;314.2222222;30;0;38.33333333;2;1687.933;1366 x 768;44;23;men;1
394;11;News;5.20932157565044;5.212953946263235;0;144;200;78.77777778;10;1;21.88888889;0;545.928;1920x1200;1;25;men;1
395;52;Cartoons;7.801982650121881;6.488763492380295;1;144;100;89.55555556;0.740740741;21.55555556;21.55555556;0;1946.467;1920x1200;35;22;men;1
396;41;Music;12.175865536915449;7.894544315349986;2;720;1000;1809.222222;30.07407407;0;43.92592593;1;1262.996;1366 x 768;27;28;women;4
397;32;Documentary;12.654185676416692;8.016248746371058;3;720;400;1446.111111;29.92592593;0;43.48148148;1;1677.407;1920x1200;23;26;women;5
398;63;Lessons;2.182599744841972;2.4652661825137927;0;720;400;1920.111111;15.44444444;19.88888889;24;15;1094.036;1366 x 768;43;26;men;2
399;63;Lessons;2.182599744841972;2.4652661825137927;0;720;400;2161.444444;26.77777778;6.444444444;40.11111111;13.22222222;1994.361;1366 x 768;43;26;men;4
400;22;Sports;18.99129562519022;9.298578866975943;3;720;400;1173.333333;29.92592593;0;43.40740741;1;1850.402;1920x1200;13;26;men;5
401;12;News;4.738728724540743;4.9139043460941805;0;240;200;349;30;0;38.33333333;2;424.031;1366 x 768;4;21;women;2
402;71;Movies;5.412066549907106;5.333550023964247;0;480;400;2252;0;0;0;3;1045.441;1366 x 768;44;23;men;3
403;33;Documentary;9.53971310756348;7.123893193826178;2;1080;1000;1869.666667;29.92592593;0;43.44444444;1;1407.302;1920x1200;25;26;men;5
404;53;Cartoons;9.197309181189583;7.008442081333783;2;144;100;84.77777778;1.074074074;20.88888889;21.88888889;0;2544.04;1920x1200;36;24;women;2
405;41;Music;12.175865536915449;7.894544315349986;2;360;200;287;0;0;0;3;1197.205;1366 x 768;27;28;women;1
406;73;Movies;6.4222844656205185;5.874105731565194;0;360;200;2300;0;0;0;3;835.721;1366 x 768;52;29;men;1
407;81;Games;12.242662262985103;7.91182450052908;2;360;200;1002.333333;30.03703704;0;43.2962963;1;1588.249;1920x1200;54;25;men;5
408;72;Movies;8.76286260877581;6.855607291109794;1;480;400;941;29.62962963;0;44.96296296;3;3056.192;1920x1200;48;25;men;3
409;82;Games;10.224898994402672;7.342974738675389;2;360;200;505.6666667;29.59259259;0;0;0;2259.87;1920x1200;59;23;women;2
410;13;News;5.411190697380056;5.333038831296158;0;144;200;92.55555556;10.03703704;1;22.14814815;0;1338.601;1920x1200;8;24;men;1
411;11;News;5.20932157565044;5.212953946263235;0;240;400;156.3333333;30;0;38.33333333;2;575.636;1920x1200;1;25;men;2
412;22;Sports;18.99129562519022;9.298578866975943;3;1080;1000;1204.888889;30.07407407;0;44.03703704;2;1335.978;1920x1200;13;26;men;5
413;71;Movies;5.412066549907106;5.333550023964247;0;480;800;806.5555556;29.77777778;0;53.66666667;2;671.528;1366 x 768;44;23;men;4
414;21;Sports;17.37365140192851;9.01738984183051;3;240;200;317.3333333;30;0;38.2962963;2;1708.293;1920x1200;10;27;men;2
415;81;Games;12.242662262985103;7.91182450052908;2;360;200;934.1111111;29.55555556;0;70.18518519;3;1834.702;1920x1200;54;25;men;4
416;11;News;5.20932157565044;5.212953946263235;0;480;1000;1302.444444;30;0;60.66666667;3;599.172;1920x1200;1;25;men;4
417;81;Games;12.242662262985103;7.91182450052908;2;360;200;1454;0;0;0;2;1015.641;1920x1200;55;22;women;1
418;43;Music;8.63852382999514;6.810469349964349;1;720;400;2687.555556;29.77777778;0;43.7037037;1;658.218;1366 x 768;30;21;men;4
419;32;Documentary;12.654185676416692;8.016248746371058;3;144;100;111.5555556;1.222222222;18.22222222;21.85185185;0;982.608;1920x1200;23;26;women;1
420;12;News;4.738728724540743;4.9139043460941805;0;480;400;919.8888889;29.92592593;0;65.62962963;2;574.033;1366 x 768;4;21;women;4
421;72;Movies;8.76286260877581;6.855607291109794;1;1080;1000;1414.555556;29.81481481;0;43.62962963;1;2029.11;1920x1200;48;25;men;5
422;51;Cartoons;5.227554283505409;5.223989463820752;0;720;400;1751.222222;29.81481481;2;43.96296296;4;2919.811;1366 x 768;32;23;men;5
423;23;Sports;9.88465928124628;7.236085120119441;2;720;400;2012.444444;30;0;43.40740741;1;1332.923;1366 x 768;16;22;men;5
424;73;Movies;6.4222844656205185;5.874105731565194;0;360;800;985.2222222;30.33333333;0;76.33333333;3;1778.228;1366 x 768;53;26;women;3
425;71;Movies;5.412066549907106;5.333550023964247;0;144;100;79.55555556;0.740740741;21.55555556;21.55555556;0;1816.789;1366 x 768;44;23;men;1
426;52;Cartoons;7.801982650121881;6.488763492380295;1;1080;1000;734.1111111;31.14814815;0;55.59259259;2;1861.49;1920x1200;35;22;men;4
427;73;Movies;6.4222844656205185;5.874105731565194;0;360;200;810.5555556;29.92592593;0;52.07407407;3;775.282;1366 x 768;53;26;women;4
428;73;Movies;6.4222844656205185;5.874105731565194;0;360;200;1399;0;0;0;2;1040.96;1366 x 768;53;26;women;1
